Product ID,Product,Tube Price,Tyre Price,MRP,Web Price,Basic,Taxes,Total,with Profit,With Fitmeat Round up,,,,,,
1027,JK TYRE 245/75 R 16 ELANZO SUPRA Tubeless Car Tyre,,4033,4173,4033,3260,912.8,4172.8,4340,4390,,,,,,
1044,JK TYRE 165/80-R-15 RALLY Tubetyre Car Tyre,399,3003,3368,3300,2658,744.24,3402.24,3538,3580,,,,,,
874,JK TYRE 215/60 R16 95V UX ROYALE T Tubeless Car Tyre,,4298,5619,4298,4390,1229.2,5619.2,5844,5890,,,,,,
900,JK TYRE 205/65 R15 94V ELANZO TOURING Tubeless Car Tyre,,5012,5171,5012,4040,1131.2,5171.2,5378,5450,,,,,,
906,JK TYRE 175/65 R14 TAXIMAX 82T Tubeless Car Tyre,,3389,3418,3389,2670,747.6,3417.6,3554,3595,,,,,,
3518,JK TYRE 145/80 R13 ULTIMA NEO Tubeless Car Tyre,,2486,2496,2486,1950,546,2496,2596,2650,,,,,,
971,JK TYRE 215/75 R 15 SB BRUTE RADIAL Tubetyre Car Tyre,398,3830,5372,4748,4228,1183.84,5411.84,5628,5690,,,,,,
985,JK TYRE 235/65 R 17 ELANZO NXT Tubeless Car Tyre,,9865,10842,9865,8470,2371.6,10841.6,11275,11350,,,,,,
1060,JK TYRE 175/70 R 13 TORNADO Tubeless Car Tyre,,3577,3610,3577,2820,789.6,3609.6,3754,3820,,,,,,
856,JK TYRE 235/70 R16 105T RANGER A/T Tubeless Car Tyre,,6617,6810,6617,5320,1489.6,6809.6,7082,7160,,,,,,
3455,JK TYRE 155/65 R12 ULTIMA LXT 71S Tubeless Car Tyre,,2214,2214,2214,1730,484.4,2214.4,2303,2360,,,,,,
899,JK TYRE 165/80 R14 ELANZO TOURING 85 S Tubeless Car Tyre,,2913,2931,2913,2290,641.2,2931.2,3048,3095,,,,,,
902,JK TYRE 215/65 R16 RANGER HT 98H Tubeless Car Tyre,,7194,7398,7194,5780,1618.4,7398.4,7694,7770,,,,,,
934,JK TYRE 185/65 R 14 ULTIMA SPORT Tubeless Car Tyre,,3615,3648,3615,2850,798,3648,3794,3850,,,,,,
3516,JK TYRE 155/70 R13 ULTIMA NXT 75T Tubeless Car Tyre,,2624,2637,2624,2060,576.8,2636.8,2742,2790,,,,,,
958,JK TYRE P225/50 R 17 VECTRA UX1 Tubeless Car Tyre,,9085,10045,9085,7848,2197.44,10045.44,10447,10535,,,,,,
966,JK TYRE 195/80 R 15 BRUTE Q RATED Tubetyre Car Tyre,463,5047,5474,5400,4305,1205.4,5510.4,5731,5795,,,,,,
978,JK TYRE P235/55 R 17 UX1 Tubeless Car Tyre,,7895,8832,7895,6900,1932,8832,9185,9260,,,,,,
984,JK TYRE 225/60 R 15 96V ELANZO NXT Tubeless Car Tyre,,5164,5326,5164,4161,1165.08,5326.08,5539,5599,,,,,,
997,JK TYRE 185 R14 ULTIMA XPC 8PR Q Tubetyre Car Tyre,462,3564,3991,4150,3146,880.88,4026.88,4188,4260,,,,,,
892,JK TYRE 265/65 R17 112H RANGER H/T Tubeless Car Tyre,,9790,10765,9790,8440,2363.2,10803.2,11235,11320,,,,,,
933,JK TYRE 185/60 R 14 ULTIMA SPORTS Tubeless Car Tyre,,3615,3648,3615,2850,798,3648,3794,3850,,,,,,
996,JK TYRE 185 R 14 102/100 8PR LT ULTIMA XPC Tubeless Car Tyre,,3888,3763,3888,2940,823.2,3763.2,3914,3970,,,,,,
1058,JK TYRE 165/80 R 14 TORNADO - TUBELESS Car Tyre,,2875,2893,2875,2260,632.8,2892.8,3009,3060,,,,,,
854,JK TYRE 215/70 R15C 109/107S RANGER A/T Tubeless Car Tyre,,6076,6257,6076,4888,1368.64,6256.64,6507,6570,,,,,,
872,JK TYRE 205/60 R16 UX ROYALE 92VT Tubeless Car Tyre,,5827,6003,5827,4690,1313.2,6003.2,6243,6310,,,,,,
891,JK TYRE 235/75 R15 105T RANGER H/T Tubeless Car Tyre,,6040,6221,6040,4860,1360.8,6220.8,6470,6520,,,,,,
923,JK TYRE 145/70 R 13 ULTIMA NXT 71T Tubeless Car Tyre,,2443,2419,2443,1955,547.4,2502.4,2602,2650,,,,,,
956,JK TYRE 205/60 R 15 91V VECTRA UX1 Tubeless Car Tyre,,6780,6976,6780,5450,1526,6976,7255,7310,,,,,,
964,JK TYRE 235/75 R 15 BRUTE 4X4 Tubetyre Car Tyre,398,6141,6501,6380,5109,1430.52,6539.52,6801,6860,,,,,,
983,JK TYRE 205/60 R 16 ELANZO NXT Tubeless Car Tyre,,5699,5873,5699,4588,1284.64,5872.64,6108,6170,,,,,,
